company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Dell,4.1,3.6k,26,375,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
SBI Life Insurance Company,3.8,3.6k,2,212,Job Security,Promotions / Appraisal
JBM Group,4.0,3.6k,22,240,"Job Security, Skill Development / Learning",
Persistent Systems,3.6,3.5k,159,575,,"Promotions / Appraisal, Job Security, Salary & Benefits"
Schneider Electric,4.2,3.5k,339,334,"Company Culture, Work Life Balance, Job Security",
Ecom Express,3.9,3.5k,21,184,,Promotions / Appraisal
Oyo Rooms,3.3,3.4k,34,221,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Bajaj Auto,3.9,3.4k,--,261,Company Culture,Promotions / Appraisal
Marpu Foundation,4.9,3.4k,--,39,"Company Culture, Work Satisfaction, Skill Development / Learning",
KEC International,4.1,3.4k,9,280,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal
Nagarjuna Construction Company,4.2,3.4k,11,285,"Job Security, Salary & Benefits, Skill Development / Learning",
Piramal Capital Housing Finance,4.2,3.4k,7,174,"Company Culture, Skill Development / Learning, Work Life Balance",
Reliance Communications,4.0,3.4k,--,84,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal
ITC Infotech,3.9,3.4k,109,317,"Work Life Balance, Job Security",Promotions / Appraisal
CARS24,3.6,3.3k,73,304,,"Job Security, Promotions / Appraisal"
Aditya Birla Fashion and Retail,4.2,3.3k,39,167,"Job Security, Skill Development / Learning, Company Culture",
Varun Beverages,4.1,3.3k,70,211,"Job Security, Salary & Benefits",
Randstad,3.8,3.2k,40,250,,"Promotions / Appraisal, Job Security"
EY Global Delivery Services ( EY GDS),3.6,3.2k,6,669,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
L&T Finance,4.0,3.2k,4,132,"Salary & Benefits, Skill Development / Learning",
Tata Communications,4.1,3.2k,423,239,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
John Deere,4.1,3.2k,--,212,"Company Culture, Work Life Balance, Skill Development / Learning",
Intas Pharmaceuticals,4.1,3.2k,31,193,"Job Security, Salary & Benefits, Work Life Balance",
Royal Enfield,4.2,3.2k,77,142,"Skill Development / Learning, Company Culture, Work Satisfaction",
Deutsche Bank,4.0,3.1k,469,339,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
LG Electronics,4.0,3.1k,3,180,"Job Security, Skill Development / Learning, Salary & Benefits",
Thermax Limited,4.2,3.1k,59,222,"Job Security, Company Culture, Skill Development / Learning",
Team Lease,3.9,3.1k,1,188,,Promotions / Appraisal
Samvardhana Motherson Group,3.8,3.1k,3,206,Job Security,"Promotions / Appraisal, Work Life Balance"
R1 RCM,3.9,3.1k,214,258,"Job Security, Company Culture, Work Life Balance",
PolicyBazaar,3.6,3.1k,44,280,Salary & Benefits,"Work Life Balance, Company Culture, Work Satisfaction"
Macleods Pharmaceuticals,3.7,3.1k,7,187,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Havells,4.0,3k,19,189,"Work Life Balance, Salary & Benefits, Company Culture",
Future Group,4.3,3k,--,74,"Skill Development / Learning, Company Culture, Work Life Balance",
Access Healthcare,3.9,3k,83,194,"Job Security, Company Culture",Promotions / Appraisal
Hetero Drugs,3.9,3k,27,190,Job Security,"Promotions / Appraisal, Salary & Benefits"
Kogta Financial India Limited,4.8,3k,31,71,"Company Culture, Work Life Balance, Work Satisfaction",
Godrej & Boyce Manufacturing,3.9,3k,35,169,Job Security,Promotions / Appraisal
PVR Inox,4.0,3k,42,148,"Skill Development / Learning, Company Culture, Work Satisfaction",Promotions / Appraisal
Aakash Educational Services,3.5,3k,116,283,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Publicis Sapient,3.5,3k,40,575,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Tata AIA Life Insurance,4.0,3k,836,160,"Job Security, Salary & Benefits, Skill Development / Learning",
Cummins,4.3,3k,120,226,"Company Culture, Work Life Balance, Skill Development / Learning",
Viatris,4.2,2.9k,5,129,"Salary & Benefits, Job Security, Work Life Balance",
Atos,3.8,2.9k,3,283,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
VE Commercial Vehicles,4.0,2.9k,3,198,"Job Security, Skill Development / Learning",Promotions / Appraisal
Square Yards,4.1,2.9k,40,189,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
Abbott,4.2,2.9k,252,137,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal
American Express,4.2,2.9k,452,343,"Company Culture, Work Life Balance, Job Security",
Subros,3.9,2.9k,--,155,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
Pidilite Industries,4.3,2.9k,15,191,"Job Security, Company Culture, Work Life Balance",
Utkarsh Small Finance Bank,3.9,2.9k,15,200,,
Indian Oil Corporation,4.4,2.9k,--,227,"Company Culture, Work Life Balance, Job Security",
Automatic Data Processing (ADP),4.1,2.9k,47,211,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
DCB Bank,3.8,2.9k,238,173,Work Life Balance,
Whitehat jr,3.5,2.9k,--,309,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Alembic Pharmaceuticals,4.0,2.9k,61,192,"Salary & Benefits, Work Life Balance",
Berger Paints,3.7,2.9k,131,245,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Bharat Electronics,4.2,2.9k,--,201,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Sodexo,4.1,2.9k,100,148,"Company Culture, Work Life Balance, Skill Development / Learning",
Barclays,4.0,2.8k,--,253,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Carelon Global Solutions,4.0,2.8k,25,339,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
Hindalco Industries,4.2,2.8k,40,195,"Job Security, Skill Development / Learning, Company Culture",
Lenskart,3.2,2.8k,96,278,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Bank of America,4.4,2.8k,70,223,"Job Security, Work Life Balance, Company Culture",
Ford Motor,4.4,2.7k,--,137,"Company Culture, Work Life Balance, Salary & Benefits",
Vishal Mega Mart,3.8,2.7k,2,153,Salary & Benefits,"Company Culture, Job Security, Work Life Balance"
Alkem Laboratories,3.9,2.7k,7,139,Salary & Benefits,
Jindal Steel and Power,4.0,2.7k,19,282,"Skill Development / Learning, Job Security",
Cogent E Services,3.3,2.7k,--,221,,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Maersk,4.3,2.7k,90,185,"Company Culture, Work Life Balance, Job Security",
HDFC Ergo General Insurance,4.0,2.7k,36,130,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Wipro Infotech,4.0,2.7k,--,214,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Escorts Kubota Limited,4.1,2.7k,1,205,"Skill Development / Learning, Work Life Balance, Company Culture",
RBL Bank,3.7,2.7k,52,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Johnson Controls,3.6,2.7k,140,239,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Indian Air Force,4.6,2.7k,--,49,"Job Security, Skill Development / Learning, Salary & Benefits",
Ipca Laboratories,4.0,2.7k,29,149,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Jubilant Foods Works,3.8,2.7k,37,153,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Glenmark Pharmaceuticals,4.0,2.7k,86,126,Skill Development / Learning,Promotions / Appraisal
Reliance Digital,4.2,2.7k,--,106,"Skill Development / Learning, Job Security, Company Culture",
Aarti Industries,4.2,2.6k,26,273,"Job Security, Work Life Balance, Skill Development / Learning",
Synechron,3.6,2.6k,99,327,Salary & Benefits,"Job Security, Promotions / Appraisal"
24/7 Customer,3.5,2.6k,34,173,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Birlasoft,3.7,2.6k,506,273,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
MRF Tyres,3.7,2.6k,14,281,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Paras Hospital,4.5,2.6k,29,74,"Skill Development / Learning, Work Life Balance, Company Culture",
Hindustan Coca Cola Beverages,4.2,2.6k,33,118,"Salary & Benefits, Skill Development / Learning, Job Security",
Honda Motorcycle & Scooter,4.1,2.6k,--,147,"Job Security, Work Life Balance, Company Culture",
Kotak Mahindara Life Insurance,3.8,2.6k,92,207,Job Security,Promotions / Appraisal
PNB MetLife,3.4,2.6k,292,141,,"Job Security, Work Satisfaction, Promotions / Appraisal"
DTDC Express,3.8,2.6k,24,131,,"Promotions / Appraisal, Salary & Benefits"
JK Cement,4.1,2.6k,--,231,"Salary & Benefits, Job Security, Company Culture",
UnitedHealth,4.1,2.6k,--,81,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Reliance Nippon Life Insurance,3.7,2.6k,3,120,,"Promotions / Appraisal, Job Security, Work Satisfaction"
Ceat Tyres,4.0,2.6k,16,149,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
ABB Group,4.1,2.5k,1,214,"Job Security, Work Life Balance, Company Culture",
Dabur,3.8,2.5k,27,204,,Promotions / Appraisal
HARMAN,3.8,2.5k,219,241,Work Life Balance,Promotions / Appraisal
NatWest Group,4.0,2.5k,--,190,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
KPIT Technologies,3.5,2.5k,17,268,,"Promotions / Appraisal, Work Satisfaction, Job Security"
GeBBS Healthcare Solutions,3.7,2.5k,25,134,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Conduent,3.5,2.5k,94,178,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
InterGlobe Aviation,3.6,2.5k,45,355,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
IGT Solutions,3.3,2.5k,86,196,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CMS IT Services,3.1,2.5k,21,116,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
RSPL Group,4.2,2.4k,20,180,"Job Security, Skill Development / Learning, Work Life Balance",
State Street Corporation,3.8,2.4k,18,211,Job Security,Promotions / Appraisal
TVS Credit,4.4,2.4k,31,94,"Company Culture, Job Security, Skill Development / Learning",
Sahrudaya Healthcare (Medicover Hospitals),4.7,2.4k,43,119,"Skill Development / Learning, Company Culture, Job Security",
Aditya Birla Sun Life Insurance,4.1,2.4k,--,123,"Company Culture, Job Security, Work Life Balance",
Alstom Transportation,3.8,2.4k,67,225,Job Security,Promotions / Appraisal
Reliance SMSL,4.0,2.4k,--,145,"Skill Development / Learning, Work Life Balance, Salary & Benefits",Promotions / Appraisal
ArcelorMittal Nippon Steel,4.1,2.4k,11,201,"Job Security, Skill Development / Learning, Work Life Balance",
ACC,3.9,2.4k,9,176,,Promotions / Appraisal
Tata AIG,4.1,2.4k,138,143,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
UPL,4.2,2.4k,42,162,"Job Security, Skill Development / Learning, Work Life Balance",
PepsiCo,4.1,2.4k,297,182,"Company Culture, Work Life Balance, Salary & Benefits",
IDFC FIRST Bharat,4.5,2.4k,--,103,"Salary & Benefits, Job Security, Company Culture",
Titan Company,4.4,2.4k,47,136,"Company Culture, Job Security, Skill Development / Learning",
S&P Global,4.2,2.4k,11,252,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
Shoppers Stop,4.1,2.4k,5,101,"Job Security, Company Culture, Skill Development / Learning",
Torrent Pharmaceuticals,3.9,2.3k,29,117,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Kyndryl,4.0,2.3k,24,140,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
Tata Technologies,3.7,2.3k,86,239,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Grasim Industries,4.1,2.3k,4,184,"Job Security, Skill Development / Learning, Work Life Balance",
Zensar Technologies,3.7,2.3k,358,240,Work Life Balance,Promotions / Appraisal
Tata Capital,4.1,2.3k,781,124,"Job Security, Company Culture, Skill Development / Learning",
Mankind Pharma,4.0,2.3k,25,181,Salary & Benefits,
Afcons Infrastructure,4.3,2.3k,7,192,"Job Security, Skill Development / Learning, Company Culture",
Motilal Oswal Financial Services,3.8,2.3k,56,194,Skill Development / Learning,
Dilip Buildcon,4.0,2.3k,6,137,"Skill Development / Learning, Work Satisfaction",
Flex,4.0,2.3k,79,168,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Walmart,3.9,2.3k,269,379,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal
UNO Minda,4.0,2.3k,20,146,"Job Security, Skill Development / Learning, Company Culture",
Bajaj Allianz General Insurance,3.9,2.3k,325,81,"Skill Development / Learning, Salary & Benefits",
Statestreet HCL Services,3.3,2.3k,--,205,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tech Mahindra Business Services,3.4,2.3k,--,262,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
GATI-KWE,4.0,2.2k,3,84,"Skill Development / Learning, Job Security",Promotions / Appraisal
Croma,4.0,2.2k,26,114,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
ElasticRun,3.5,2.2k,8,238,,"Job Security, Promotions / Appraisal, Work Satisfaction"
Capita,3.6,2.2k,65,139,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
HDFC Sales,4.0,2.2k,22,161,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
I Process Services,3.9,2.2k,--,87,"Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Nokia,4.2,2.2k,194,259,"Work Life Balance, Company Culture, Work Satisfaction",
Societe Generale Global Solution Centre,3.9,2.2k,39,240,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Apollo Tyres,4.1,2.2k,7,120,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Sammaan Capital Limited,3.8,2.2k,24,96,,Promotions / Appraisal
Landmark Group,4.0,2.2k,17,131,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Nestle,4.0,2.2k,48,226,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal
BlackBuck,3.8,2.1k,4,164,,"Job Security, Promotions / Appraisal"
Domino's Pizza,4.0,2.1k,--,85,"Skill Development / Learning, Salary & Benefits",
AGS Health,4.0,2.1k,23,157,"Job Security, Company Culture, Skill Development / Learning",
Max Healthcare,4.1,2.1k,81,113,"Skill Development / Learning, Job Security, Company Culture",
Quest Global,3.6,2.1k,96,270,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Blue Dart Express,4.1,2.1k,--,97,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Suzlon Group,4.1,2.1k,23,118,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
Bajaj Electricals,4.0,2.1k,15,116,"Salary & Benefits, Work Life Balance, Company Culture",
KocharTech,4.0,2.1k,16,64,"Skill Development / Learning, Company Culture, Job Security",
Fiserv,3.4,2.1k,26,161,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Axis Direct,3.9,2.1k,10,76,,Promotions / Appraisal
IKS Health,3.6,2.1k,44,219,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
G4S,4.0,2.1k,1,92,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Sterlite Technologies,3.8,2.1k,81,157,,"Promotions / Appraisal, Job Security"
Capgemini Engineering,3.5,2.1k,105,328,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
McDonald's,4.2,2.1k,1,124,"Skill Development / Learning, Company Culture, Job Security",
Zomato,3.7,2.1k,3,299,,"Promotions / Appraisal, Job Security"
Britannia,4.1,2.1k,1,154,"Job Security, Skill Development / Learning",
Micro Labs,3.7,2.1k,11,120,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
XpressBees,3.7,2k,15,146,,"Promotions / Appraisal, Company Culture, Salary & Benefits"
Huawei Technologies,4.0,2k,--,110,"Salary & Benefits, Skill Development / Learning",Job Security
Exide Industries,3.5,2k,45,162,,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Shree Cement,3.9,2k,--,144,,Promotions / Appraisal
Patanjali Ayurved,4.0,2k,1,102,"Work Life Balance, Job Security",Promotions / Appraisal
PhonePe,4.0,2k,153,275,Salary & Benefits,
KPMG Global Services,3.6,2k,--,200,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
TVS Supply Chain Solutions,3.9,2k,3,124,,"Promotions / Appraisal, Salary & Benefits"
Voltas,4.0,2k,5,115,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
KFintech,3.6,2k,7,123,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Mahindra Logistics,4.0,2k,3,114,Skill Development / Learning,Promotions / Appraisal
Fortis Healthcare,4.1,2k,84,121,"Skill Development / Learning, Job Security, Work Life Balance",
Yazaki,3.8,2k,1,115,,Promotions / Appraisal
Fujitsu,3.8,2k,93,167,"Work Life Balance, Company Culture",Promotions / Appraisal
Taj Hotels Resorts and Palaces,4.2,2k,38,114,"Job Security, Company Culture, Skill Development / Learning",
DS Group,4.1,2k,18,132,"Work Life Balance, Job Security, Salary & Benefits",Promotions / Appraisal
Simplex Infrastructures,3.3,2k,2,64,,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Tractors and Farm Equipment,4.1,2k,15,98,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
Indus Towers,3.9,2k,32,161,Salary & Benefits,Promotions / Appraisal
ACT Fibernet,4.0,2k,41,125,"Company Culture, Job Security, Salary & Benefits",
Dalmia Bharat Cement,4.0,2k,--,131,"Job Security, Salary & Benefits, Skill Development / Learning",
Lava International,4.1,2k,1,63,"Skill Development / Learning, Company Culture, Work Life Balance",
ZS,3.4,2k,61,440,Salary & Benefits,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Himalaya Wellness,4.1,1.9k,2,99,"Work Life Balance, Company Culture, Skill Development / Learning",
VVDN Technologies,3.7,1.9k,16,180,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
SRF,4.2,1.9k,27,168,"Job Security, Salary & Benefits, Skill Development / Learning",
Blue Star,4.1,1.9k,27,144,"Company Culture, Skill Development / Learning, Work Satisfaction",
State Street Syntel,3.7,1.9k,--,73,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
V-Mart,4.2,1.9k,5,138,"Skill Development / Learning, Job Security, Company Culture",
Shell,4.1,1.9k,6,184,"Work Life Balance, Company Culture, Salary & Benefits",Promotions / Appraisal
Citicorp,3.7,1.9k,--,267,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Ajanta Pharma,4.1,1.9k,23,106,"Job Security, Work Life Balance, Skill Development / Learning",
Tata Elxsi,3.9,1.9k,60,280,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Sonalika Tractors,3.7,1.9k,2,120,,"Promotions / Appraisal, Company Culture, Work Life Balance"
Mahindra Rural Housing Finance,4.0,1.9k,8,76,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
Ola Cabs,3.4,1.9k,15,139,,"Job Security, Promotions / Appraisal, Company Culture"
Aditya Birla Group,4.2,1.9k,6,176,"Job Security, Skill Development / Learning, Company Culture",
NoBroker,3.2,1.9k,37,211,,"Promotions / Appraisal, Work Satisfaction, Job Security"
Lifestyle,4.4,1.9k,8,62,"Job Security, Skill Development / Learning, Company Culture",
Extramarks Education,3.4,1.9k,17,165,,"Job Security, Promotions / Appraisal, Work Satisfaction"
