company_name,rating,reviews,jobs,interviews,highly_rated_for,critically_rated_for
Lupin,4.2,5.7k,62,326,"Skill Development / Learning, Company Culture, Work Life Balance",
Zydus Lifesciences,4.2,5.7k,37,289,"Salary & Benefits, Skill Development / Learning, Job Security",
Delhivery,3.9,5.7k,110,425,Skill Development / Learning,Promotions / Appraisal
L&T Construction,4.0,5.6k,--,659,"Job Security, Skill Development / Learning, Salary & Benefits",Work Life Balance
JPMorgan Chase & Co.,4.1,5.6k,705,700,"Job Security, Company Culture, Skill Development / Learning",
Sun Pharmaceutical Industries,4.1,5.5k,149,368,"Job Security, Salary & Benefits, Skill Development / Learning",
Muthoot Fincorp,4.5,5.4k,43,319,"Skill Development / Learning, Company Culture, Job Security",
Hexaware Technologies,3.6,5.4k,336,689,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HCL Group,3.7,5.3k,1,431,Job Security,"Promotions / Appraisal, Salary & Benefits"
ITC,4.0,5.3k,24,525,"Job Security, Skill Development / Learning",Promotions / Appraisal
JSW Steel,4.0,5.3k,74,535,"Job Security, Skill Development / Learning",Promotions / Appraisal
FIS,3.9,5.3k,192,449,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Indian Army,4.7,5.2k,--,144,"Job Security, Company Culture, Work Satisfaction",
Hindustan Unilever,4.2,5.2k,13,335,"Skill Development / Learning, Job Security, Company Culture",
IIFL Finance,4.0,5.1k,51,242,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
KPMG India,3.5,5k,1k,745,,"Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Max Life Insurance,4.1,5k,269,279,"Skill Development / Learning, Company Culture, Job Security",
Ujjivan Small Finance Bank,4.1,5k,17,208,"Company Culture, Job Security, Skill Development / Learning",
Udaan,4.0,5k,5,328,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Oracle,3.7,4.9k,177,841,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
Tata Projects,4.3,4.8k,36,380,"Job Security, Company Culture, Salary & Benefits",
Muthoot Finance,3.6,4.7k,30,240,,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Megha Engineering & Infrastructures,4.0,4.7k,16,414,Job Security,Promotions / Appraisal
Ekart Logistics,4.0,4.7k,--,284,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
eClerx,3.4,4.6k,59,471,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Omega Healthcare,3.8,4.6k,49,397,,"Promotions / Appraisal, Salary & Benefits"
Aurobindo Pharma,4.0,4.5k,14,222,"Job Security, Salary & Benefits, Work Life Balance",
JLL,4.2,4.5k,36,321,"Job Security, Skill Development / Learning, Company Culture",
Shapoorji Pallonji Group,4.2,4.5k,12,310,"Job Security, Work Life Balance, Skill Development / Learning",
Bajaj Allianz Life Insurance,4.0,4.5k,6,305,"Salary & Benefits, Work Life Balance, Job Security",
Siemens,4.1,4.4k,702,404,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Coforge,3.4,4.4k,147,484,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Virtusa Consulting Services,3.8,4.3k,830,530,,Promotions / Appraisal
Indiamart Intermesh,3.5,4.3k,294,534,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
Ashok Leyland,4.1,4.3k,1,221,"Skill Development / Learning, Work Satisfaction, Work Life Balance",Promotions / Appraisal
Apollo Hospitals,4.1,4.3k,93,311,"Job Security, Skill Development / Learning, Company Culture",
First Source,3.7,4.3k,94,274,,"Promotions / Appraisal, Salary & Benefits"
L&T Technology Services,3.4,4.3k,3,497,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Standard Chartered,3.8,4.2k,285,255,Job Security,Promotions / Appraisal
DMart,3.9,4.2k,95,374,"Job Security, Company Culture",Promotions / Appraisal
JustDial,3.5,4.2k,70,316,,"Promotions / Appraisal, Work Satisfaction, Job Security"
BigBasket,4.0,4.2k,3,337,Job Security,Promotions / Appraisal
ICICI Lombard General Insurance Company,3.7,4.2k,121,253,,"Promotions / Appraisal, Work Satisfaction"
Vivo,4.1,4.2k,1,183,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Hero MotoCorp,4.2,4.2k,--,310,"Work Life Balance, Company Culture, Job Security",
Home Credit Finance,4.1,4.2k,84,109,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Cyient,3.7,4.2k,100,274,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
CGI Group,4.1,4.2k,202,453,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
GlobalLogic,3.7,4.2k,103,533,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Mahindra Finance,4.1,4.1k,35,141,"Company Culture, Job Security, Skill Development / Learning",
Cholamandalam Investment & Finance,4.0,4k,36,160,"Salary & Benefits, Job Security, Skill Development / Learning",
Equitas Small Finance Bank,4.3,4k,890,173,"Job Security, Company Culture, Work Life Balance",
UST,3.9,4k,64,468,"Work Life Balance, Company Culture",Promotions / Appraisal
Bosch Global Software Technologies,4.0,4k,12,310,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
OPPO,4.0,4k,16,200,Skill Development / Learning,Promotions / Appraisal
Nagarro,4.0,3.9k,33,732,"Work Life Balance, Company Culture, Salary & Benefits",
Manappuram Finance,4.0,3.9k,18,139,"Skill Development / Learning, Promotions / Appraisal",
SMFG India Credit,4.1,3.9k,21,146,"Salary & Benefits, Job Security, Company Culture",
TVS Motor,4.0,3.9k,8,297,"Skill Development / Learning, Salary & Benefits, Job Security",
SBI Cards & Payment Services,3.7,3.9k,109,224,,"Promotions / Appraisal, Work Satisfaction, Company Culture"
IQVIA,4.0,3.8k,28,441,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
